"Time (UTCG)","x (km)","y (km)","z (km)","vx (km/sec)","vy (km/sec)","vz (km/sec)"
31 Jan 2024 09:00:00.000,-1222.249099,346.004322,-7116.072847,5.010823,5.422758,-0.632096
31 Jan 2024 15:22:35.206,-4928.441243,-5222.569095,-73.586188,-0.810486,0.837883,-7.376892
1 Feb 2024 09:00:00.000,3629.007456,4881.826982,-3947.148226,3.463134,2.354119,6.093199
1 Feb 2024 10:51:07.078,4887.249479,5348.220207,-11.650106,0.844267,-0.787382,7.312195
2 Feb 2024 05:28:50.578,4813.951383,5413.470554,-11.469846,0.854092,-0.777116,7.312788
2 Feb 2024 09:00:00.000,4631.189702,4436.910912,3334.190652,-1.555153,-3.296100,6.460552
2 Feb 2024 15:38:30.656,4773.593991,5448.605922,-11.320691,0.859376,-0.771498,7.313143
3 Feb 2024 02:38:59.053,-4701.836355,-5429.826097,-89.399640,-0.837749,0.811808,-7.374707
3 Feb 2024 09:00:00.000,873.589513,-704.932592,7096.286411,-4.843229,-5.668499,0.001580
3 Feb 2024 15:21:04.115,4678.438537,5529.421532,-11.079966,0.871631,-0.758145,7.313965
4 Feb 2024 04:03:09.142,-4602.091349,-5515.776032,-95.905445,-0.849324,0.800213,-7.373630
4 Feb 2024 09:00:00.000,-3635.195328,-5228.915848,3303.254170,-3.019364,-2.041261,-6.524942
4 Feb 2024 16:45:14.163,4574.860368,5614.126230,-10.869480,0.884624,-0.743536,7.314946
4 Feb 2024 21:50:04.164,4553.957568,5630.818793,-10.813992,0.887193,-0.740595,7.315156
5 Feb 2024 06:18:07.490,4518.971901,5658.488428,-10.778709,0.891490,-0.735625,7.315497
5 Feb 2024 09:00:00.000,-4195.868128,-4248.192290,-4032.545326,1.854637,3.872317,-6.077002
5 Feb 2024 16:27:47.477,4476.774753,5691.364348,-10.646896,0.896547,-0.729692,7.315937
6 Feb 2024 03:28:15.775,-4411.750560,-5671.564443,-107.412722,-0.870828,0.777704,-7.371375
6 Feb 2024 09:00:00.000,-424.677746,1294.960107,-7113.671571,4.573641,5.763095,0.750418
6 Feb 2024 12:47:07.407,4391.629823,5756.154073,-10.455471,0.906645,-0.717662,7.316845
6 Feb 2024 18:42:45.709,-4349.473457,-5720.305165,-110.983529,-0.877664,0.770267,-7.370585
7 Feb 2024 06:34:02.302,-4300.639451,-5757.772313,-113.604825,-0.883038,0.764325,-7.369962
7 Feb 2024 09:00:00.000,3625.090111,5633.343223,-2769.639230,2.549699,1.652874,6.744390
7 Feb 2024 16:43:42.231,-4258.550173,-5789.565277,-115.938129,-0.887549,0.759286,-7.369400
8 Feb 2024 04:34:58.781,-4209.116415,-5826.288295,-118.431487,-0.892912,0.753189,-7.368752
8 Feb 2024 09:00:00.000,3841.135976,4168.355729,4457.106526,-1.989721,-4.338992,5.699354
8 Feb 2024 17:17:03.643,4167.252443,5917.438228,-9.959489,0.932072,-0.685775,7.319410
8 Feb 2024 22:21:53.577,4145.213424,5932.568374,-9.895877,0.934477,-0.682642,7.319677
9 Feb 2024 06:49:56.791,4108.353846,5957.620346,-9.871747,0.938511,-0.677327,7.320110
9 Feb 2024 09:00:00.000,134.135786,-1747.871022,6955.094529,-4.337278,-5.912114,-1.418671
9 Feb 2024 22:04:26.547,4041.610642,6002.102025,-9.719498,0.945651,-0.667775,7.320928
10 Feb 2024 09:00:00.000,-3536.179345,-5917.514240,2013.592458,-2.117252,-1.174576,-7.063820
10 Feb 2024 18:23:46.165,3951.850133,6060.212179,-9.541048,0.955073,-0.654872,7.322060
11 Feb 2024 09:00:00.000,-3397.454430,-3829.700804,-5094.867623,2.146336,4.884946,-5.157532
11 Feb 2024 14:43:05.729,3861.250177,6116.930440,-9.220887,0.964260,-0.641916,7.323240
